filename,width,height,class,xmin,ymin,xmax,ymax
WhatsApp-Image-2022-12-05-at-18-19-29_jpeg.rf.0749feb62524c98aa77151bc01835c38.jpg,612,405,car,307,203,375,253
WhatsApp-Image-2022-12-05-at-18-19-29_jpeg.rf.0749feb62524c98aa77151bc01835c38.jpg,612,405,car,406,195,521,290
WhatsApp-Image-2022-12-05-at-18-25-07_jpeg.rf.020b3394a42e7f50c2dc6cf2cc22f36f.jpg,612,408,car,262,184,499,325
WhatsApp-Image-2022-12-05-at-18-25-07_jpeg.rf.020b3394a42e7f50c2dc6cf2cc22f36f.jpg,612,408,car,148,175,204,213
WhatsApp-Image-2022-12-05-at-18-25-07_jpeg.rf.020b3394a42e7f50c2dc6cf2cc22f36f.jpg,612,408,car,242,175,295,198
WhatsApp-Image-2022-11-29-at-20-15-44-1-_jpeg.rf.046ec02e52cb7ee6208bf14ab09b2618.jpg,1600,738,car,442,275,1125,572
-4BB97EA4-824F-4351-B178-A426E8AE6051-png_jpg.rf.05521c1b14c463e51fe50ea9abaa1599.jpg,640,640,car,154,85,600,542
-192C4A31-07E9-4438-9D0D-63CF545747C8-png_jpg.rf.130a1da1847221de39ebd758854c1879.jpg,640,640,car,72,48,532,479
-26D423C9-C9F8-4CA3-B49E-3664225FB20C-png_jpg.rf.08f13f2c7648961ba440b3bdfe92976c.jpg,640,640,car,114,163,329,537
-26D423C9-C9F8-4CA3-B49E-3664225FB20C-png_jpg.rf.08f13f2c7648961ba440b3bdfe92976c.jpg,640,640,car,406,138,585,443
-2846226C-6A55-4876-B717-7F8A5FA4E560-png_jpg.rf.0c8a7599d083dbb33ab0652d629fe3ab.jpg,640,640,car,145,92,640,576
-50894A9D-DA2D-4049-9C7B-6006F32452BC-png_jpg.rf.14ce2838aefe46cd8511e8c62d631d24.jpg,640,640,car,147,74,575,451
WhatsApp-Image-2022-12-05-at-18-20-09_jpeg.rf.1736b59f7259f6ee5e247ec58e928215.jpg,612,344,car,62,144,451,289
-5EA2A12A-708A-4984-80AC-438C76933457-png_jpg.rf.0820955d06c1a0e24e1d48fa6d4a7994.jpg,640,640,car,75,102,529,491
WhatsApp-Image-2022-12-05-at-18-23-14_jpeg.rf.09768a5cc2f00603390563777598969a.jpg,612,408,car,214,239,336,329
WhatsApp-Image-2022-12-05-at-18-23-14_jpeg.rf.09768a5cc2f00603390563777598969a.jpg,612,408,car,134,240,180,271
youtube-47_jpg.rf.04b5191417f7337b4b11514f23325508.jpg,720,1280,car,310,613,462,725
-156F82DF-5099-4AEA-8574-19720B40C034-png_jpg.rf.1f6c28374f5fc0f11d20cf1577ef26d0.jpg,640,640,car,100,128,514,541
WhatsApp-Image-2022-12-05-at-18-19-23_jpeg.rf.18e8c54ea5f7d95d56b9bb81bc2437cb.jpg,612,411,car,408,329,483,390
WhatsApp-Image-2022-12-05-at-18-19-23_jpeg.rf.18e8c54ea5f7d95d56b9bb81bc2437cb.jpg,612,411,car,347,319,399,368
WhatsApp-Image-2022-12-05-at-18-19-23_jpeg.rf.18e8c54ea5f7d95d56b9bb81bc2437cb.jpg,612,411,car,263,312,315,364
-192C4A31-07E9-4438-9D0D-63CF545747C8-png_jpg.rf.05fa4c9133f9d69130d5781f5c273fea.jpg,225,209,car,25,16,187,156
WhatsApp-Image-2022-12-05-at-18-24-10_jpeg.rf.16e297c6bb20e0e21bf28559c0e18df6.jpg,612,408,car,257,190,485,267
WhatsApp-Image-2022-12-05-at-18-24-10_jpeg.rf.16e297c6bb20e0e21bf28559c0e18df6.jpg,612,408,car,51,196,274,326
-28A7CBC5-452A-4B8D-91E0-397F87E23E7F-png_jpg.rf.0fec48245cf91b1987d15ed90f25e1dd.jpg,640,640,car,72,200,446,640
-28A7CBC5-452A-4B8D-91E0-397F87E23E7F-png_jpg.rf.0fec48245cf91b1987d15ed90f25e1dd.jpg,640,640,car,375,50,505,216
-BD23F506-8DE9-4C71-B79A-585BF30E68A5-png_jpg.rf.1fe6617de7023b33d4472efe78e27852.jpg,640,640,car,54,89,561,538
-20370F09-C43F-47FF-AEDD-1508B10C5D42-png_jpg.rf.1a078b8e70a422b1a7e96814a18dc5a6.jpg,640,640,car,79,170,539,498
WhatsApp-Image-2022-12-05-at-18-27-00_jpeg.rf.1c998d0b2961995f028f0501689e08af.jpg,612,459,car,188,138,447,378
-0DEDC30B-FD9A-4A41-ABC0-DBEDE7C1C712-png_jpg.rf.17f1e0757a87c98ff7e072e3c64effc8.jpg,640,640,car,158,12,618,580
youtube-29_jpg.rf.20e741f91d0cf71bd6c7079d10867c91.jpg,720,1280,car,238,645,383,723
-1F999A49-2799-4FBC-811D-D10A165F8B02-png_jpg.rf.2356e277a30b92476e27c9051b2a4b05.jpg,640,640,car,120,51,589,581
WhatsApp-Image-2022-12-05-at-18-18-22_jpeg.rf.0c35bc73c37c93891190ce74033062d7.jpg,408,612,car,122,322,290,472
-DF6ABE64-1B3B-4148-A35F-D957221C40B7-png_jpg.rf.221fff8889124ca1b47849b8c62c48c6.jpg,640,640,car,94,105,534,527
