filename,width,height,class,xmin,ymin,xmax,ymax
modifikasi-2Btruck-2Bcanter-2B2013_jpg.rf.cd8e1f70b058754e0860d30d63779ad8.jpg,640,640,truck,232,130,640,551
download-6-_jpeg.rf.caf97170df704fc30a99b92bc79cadd2.jpg,265,191,truck,75,27,238,172
Image_013502_jpg.rf.c4b726344c03c1f631a6bf88d19bed95.jpg,640,640,truck,217,0,640,377
images-1-_jpeg.rf.c619c9cfff2677fc8875b98b8a709f5a.jpg,225,225,truck,71,0,225,216
Image_013503_jpg.rf.c713662a8d78fd1be032d7ea1aa32424.jpg,640,640,truck,69,36,510,514
images-7-_jpeg.rf.cc89556196621e44bff04dfbb38b3b29.jpg,305,165,truck,46,6,168,148
images-56-_jpeg.rf.d1921fd4f3be8e6f72e9e76247043f1e.jpg,275,183,truck,107,40,245,157
Image_013453_jpg.rf.d1c0c0c56b1ea27b0525019b9139bcaf.jpg,640,640,truck,159,19,640,466
Image_013452_jpg.rf.c240db30dbd6a388adf2c8c6e9db477b.jpg,640,640,truck,120,0,575,478
Image_013580_jpg.rf.c26f6fa46234bdc2074a3fb964c50611.jpg,640,640,truck,165,118,607,596
Truk-Foto-ktb-co_-id_-2_jpg.rf.cc95083eb6092452e6932812ad64f4a6.jpg,640,640,truck,13,11,348,502
images-70-_jpeg.rf.d42b1c3dc9006660554018765ec11022.jpg,259,194,truck,186,57,259,164
irsyadputrakaroseri_20210128_2_jpg.rf.c844458c2d74f8ba1d12e912c7e23ff9.jpg,640,640,truck,198,108,543,606
irsyadputrakaroseri_20210128_2_jpg.rf.c844458c2d74f8ba1d12e912c7e23ff9.jpg,640,640,truck,0,235,76,388
Image_013471_jpg.rf.c539efabfa2438132bc81179e3841c94.jpg,640,640,truck,163,63,498,473
Image_013470_jpg.rf.ca79cc9886385d20aac3f6000c7f975e.jpg,640,640,truck,220,127,597,581
IMG_20150312_165650_jpg.rf.c8ad099a286543956a052eb2af67bf36.jpg,640,640,truck,14,131,194,574
images-20-_jpeg.rf.c32d0e9ab075f10a4713cccd63e7859d.jpg,300,168,truck,13,42,108,145
Image_013362_jpg.rf.c60fb2794b35b00ebbb7f6a0fb170b0d.jpg,640,640,truck,1,0,430,441
truk-2Bsawit-2Boleng_jpg.rf.c2f0fd60a5fbba4147af707b09aad803.jpg,640,640,truck,0,0,305,517
Image_013446_jpg.rf.d025e859afa27797c423586647f41b5c.jpg,640,640,truck,210,212,591,636
Image_013371_jpg.rf.cbff018ee4634e87644f8a0b04c4d6ae.jpg,640,640,truck,74,208,363,521
Image_013419_jpg.rf.d497bfe9eb053078d39071a235886b19.jpg,640,640,truck,233,178,536,536
Image_013369_jpg.rf.c23198e9cb06776c1300d48e4d06a3f3.jpg,640,640,truck,97,70,547,526
Image_013313_jpg.rf.c5c4649a5af83bb965367afef93cd240.jpg,640,640,truck,202,109,624,601
Image_013463_jpg.rf.d625565bcffd27926eb8c7ce9137f2a1.jpg,640,640,truck,110,95,465,467
Image_013545_jpg.rf.d597edfa7a233d2c0394f6fa8035216d.jpg,640,640,truck,53,78,411,517
Image_013509_jpg.rf.dbc141412a2586a2c73a8d6ff2efcf8f.jpg,640,640,truck,45,97,543,581
images-58-_jpeg.rf.d9225b7a8387df82ca5e53d43775dad1.jpg,225,225,truck,13,8,217,205
Image_013446_jpg.rf.dcdebfde56622d65f20bec87d63d7b51.jpg,640,640,truck,3,0,467,424
images-60-_jpeg.rf.cb99889017fcbc7c83ff1d7c50c110bd.jpg,275,183,truck,124,54,245,155
IMG_5456_jpg.rf.d71da66643092d9a8611b4663a90029e.jpg,640,640,truck,65,0,571,622
images-30-_jpeg.rf.dd8e2c08e862ea79c817316610337b71.jpg,225,225,truck,88,67,219,188
used-2003-mitsubishi-fuso-fe-hd-box-_jpg.rf.e4973fdf72c0b660e50fbb218fc9328e.jpg,640,640,truck,320,168,612,576
